,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
1086,,,,,,0
1087,,,,,,0
1088,,,,,,0
1089,1.0,419.43011,419.35001,1118.0,False,1119
1090,1.0,421.9902,419.7381,1094.0,False,1118
1091,1.0,425.60001,424.6041,1093.0,False,1102
1092,,,,,,0
1093,,,,,,0
1094,,,,,,0
1095,,,,,,0
1096,,,,,,0
1097,,,,,,0
1098,,,,,,0
1099,,,,,,0
1100,-1.0,428.88,428.85001,1122.0,False,1146
1101,-1.0,427.89999,426.82001,1120.0,False,1146
1102,,,,,,0
1103,,,,,,0
1104,,,,,,0
1105,,,,,,0
1106,1.0,424.54999,424.28,1108.0,False,1109
1107,,,,,,0
1108,-1.0,424.54999,424.48999,1112.0,False,1120
1109,-1.0,424.049988,423.79999,1111.0,False,1115
1110,,,,,,0
1111,,,,,,0
1112,,,,,,0
1113,,,,,,0
1114,,,,,,0
1115,,,,,,0
1116,-1.0,422.92999,422.69501,1120.0,False,1120
1117,,,,,,0
1118,-1.0,420.0,419.73999,1120.0,False,1120
1119,,,,,,0
1120,1.0,424.345,419.73999,1125.0,False,1397
1121,,,,,,0
1122,,,,,,0
1123,,,,,,0
1124,,,,,,0
1125,-1.0,425.23999,424.7858,1127.0,False,1138
1126,,,,,,0
1127,,,,,,0
1128,,,,,,0
1129,,,,,,0
1130,,,,,,0
1131,,,,,,0
1132,,,,,,0
